[TILEMAP]
987654321	textures\map1.png	textures\map1.txt	11	11	27	208	16	16
# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png		255	255	255
20	textures\misc.png		166	185	255	
50	textures\enemies.png		3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png		255	255	255
47	textures\effect.png		176	224	248
60	textures\enemiesvip.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#Coin
8888	334	100	348	116	20
8889	290	100	308	116	20
8890	354	100	371	116	20
8891	370	100	386	116	20
8892	294	101	302	115	20
8893	319	101	327	115	20
8894	308	101	316	115	20

#Money

88888	11	223	22	231	47
88889	10	232	22	240	47
88890	10	241	22	249	47
88891	10	250	22	258	47
88892	24	223	39	231	47
88893	23	232	39	231	47
88894	23	241	39	249	47
88895	23	250	39	258	47


# Item
8888	334	100	348	116	20
8889	290	100	308	116	20
8890	354	100	371	116	20
8891	370	100	386	116	20
11	156	121	171	137	20
12	180	123	196	137	20
13	309	121	325	138	20

# BIG MARIO FIRE
# idle right
12001	216	683	230	710	0
# walk right
12002	255	683	271	710	0
12003	295	684	311	710	0
# idle left
12005	176	683	190	710	0
# walk left
12006	135	683	151	710	0
12007	95	684	111	710	0
# sitting left
12011	16	680	30	716	0
# sitting right
12012	376	680	390	716	0
# stop right
12016	175	723	191	751	0
# stop left
12017	215	723	231	751	0
# fly right
12021	335	684	351	710	0
# fly left
12022	55	684	71	710	0
# attack right
12041	366	803	380	830	0
# attack left
12043	26	803	40	830	0
# running right
120002	213	763	232	790	0
120003	253	763	272	790	0
120004	293	764	312	790	0
# running left
120006	174	763	193	790	0
120007	134	763	153	790	0
120008	94	764	113	790	0
# flying when running right
120211	333	804	352	830	0
# flying when running left
120221	54	804	73	830	0
# flying attack right
120310	253	803	272	830	0
# flying attack left
120320	134	803	153	830	0
#kick right
120321	252	723	273	750	0
#kick left
120322	133	723	154	750	0
# =========-----End BIG MARIO FIRE -------========


# BIG MARIO HAVE TAIL
# idle right
11001	212	443	233	471	0
